epoch,duration_s,peak_db,confidence,clip
1781121731,11,72.8,0.996,1781121731.wav
1781119530,35,64.4,0.996,1781119530.wav
1781114734,39,66.4,0.996,1781114734.wav
1781107344,34,70.8,0.996,1781107344.wav
1781107324,12,63,0.996,1781107324.wav
1781105037,12,49.8,0.996,1781105037.wav
1781103710,16,50.7,0.996,1781103710.wav
1781102425,31,55.9,0.996,1781102425.wav
1781102344,23,50.7,0.996,1781102344.wav
1781101720,15,49.9,0.996,1781101720.wav
1781096313,24,51.3,0.996,1781096313.wav
1781093941,35,54.9,0.996,1781093941.wav
1781093325,40,68.8,0.996,1781093325.wav
1781093131,11,56.5,0.996,1781093131.wav
1781092000,14,57.9,0.996,1781092000.wav
1781091659,18,64.3,0.996,1781091659.wav
1781091086,30,66.4,0.996,1781091086.wav
1781090222,24,56.2,0.996,1781090222.wav
1781088142,42,63.6,0.996,1781088142.wav
1781081397,34,52.6,0.996,1781081397.wav
1781080541,29,57.8,0.996,1781080541.wav
1781078676,8,46.2,0.949,1781078676.wav
1781073214,30,55.8,0.996,1781073214.wav
1781072920,30,50.9,0.996,1781072920.wav
1781071149,29,57,0.996,1781071149.wav
1781070186,30,56.1,0.996,1781070186.wav
1781063908,14,44.5,0.996,1781063908.wav
1781063891,11,48,0.996,1781063891.wav
1781057193,25,52,0.996,1781057193.wav
1781043408,32,45.2,0.996,1781043408.wav
1781040309,33,57.5,0.996,1781040309.wav
1781039214,32,57.4,0.996,1781039214.wav
1781036862,16,48.7,0.996,1781036862.wav
1781035674,42,52.6,0.996,1781035674.wav
1781033600,22,44.4,0.996,1781033600.wav
1781028781,33,56.9,0.996,1781028781.wav
1781027334,34,55.5,0.996,1781027334.wav
1781025021,36,68.5,0.996,1781025021.wav
1781021477,39,69.8,0.996,1781021477.wav
1781017642,16,55.7,0.996,1781017642.wav
1781016431,19,67.8,0.996,1781016431.wav
1781012219,18,47.3,0.996,1781012219.wav
1781012186,20,63.1,0.996,1781012186.wav
1781010396,29,45.5,0.996,1781010396.wav
1781009842,31,52.3,0.996,1781009842.wav
1781007335,46,73,0.996,1781007335.wav
1781007240,18,63.4,0.996,1781007240.wav
1781006081,41,71.4,0.996,1781006081.wav
1781001713,40,71.7,0.996,1781001713.wav
1781000510,45,74.5,0.996,1781000510.wav
1780993629,24,43.6,0.996,1780993629.wav
1780992261,31,52.4,0.996,1780992261.wav
1780991762,32,56.5,0.996,1780991762.wav
1780990215,40,53.9,0.996,1780990215.wav
1780989533,28,44.2,0.996,1780989533.wav
1780988423,29,54,0.996,1780988423.wav
